Timestamp;PPG_IR;PPG_R;Pulse rate;SpO2
2024-09-09 13:30:00;19009;137;;
2024-09-09 13:30:00;19433;199;;
2024-09-09 13:30:00;19848;152;;
2024-09-09 13:30:00;20295;211;;
2024-09-09 13:30:00;20319;180;;
2024-09-09 13:30:00;20530;225;;
2024-09-09 13:30:00;20050;120;;
2024-09-09 13:30:00;18802;189;;
2024-09-09 13:30:00;17831;151;;
2024-09-09 13:30:00;18087;278;;
2024-09-09 13:30:00;18918;283;;
2024-09-09 13:30:00;19283;337;;
2024-09-09 13:30:00;19226;273;;
2024-09-09 13:30:00;19778;299;;
2024-09-09 13:30:00;20318;311;;
2024-09-09 13:30:00;20476;318;;
2024-09-09 13:30:00;20472;237;;
2024-09-09 13:30:00;;;129;-999
2024-09-09 13:30:00;20278;131;;
2024-09-09 13:30:00;19220;320;;
2024-09-09 13:30:00;18228;322;;
2024-09-09 13:30:00;17967;326;;
2024-09-09 13:30:00;18432;237;;
2024-09-09 13:30:00;19116;123;;
2024-09-09 13:30:00;18849;265;;
2024-09-09 13:30:01;19713;178;;
2024-09-09 13:30:01;20220;327;;
2024-09-09 13:30:01;20387;317;;
2024-09-09 13:30:01;20485;240;;
2024-09-09 13:30:01;20496;214;;
2024-09-09 13:30:01;20013;180;;
2024-09-09 13:30:01;18568;246;;
2024-09-09 13:30:01;17970;290;;
2024-09-09 13:30:01;18203;338;;
2024-09-09 13:30:01;18951;297;;
2024-09-09 13:30:01;19005;175;;
2024-09-09 13:30:01;19558;257;;
2024-09-09 13:30:01;20037;282;;
2024-09-09 13:30:01;20334;331;;
2024-09-09 13:30:01;20516;203;;
2024-09-09 13:30:01;20611;343;;
2024-09-09 13:30:01;20279;311;;
2024-09-09 13:30:01;19006;222;;
2024-09-09 13:30:01;17862;189;;
2024-09-09 13:30:01;17908;207;;
2024-09-09 13:30:01;18588;348;;
2024-09-09 13:30:01;19175;314;;
2024-09-09 13:30:01;19013;218;;
2024-09-09 13:30:01;19743;200;;
2024-09-09 13:30:02;20193;192;;
2024-09-09 13:30:02;20483;343;;
2024-09-09 13:30:02;20537;310;;
2024-09-09 13:30:02;19967;207;;
2024-09-09 13:30:02;19931;208;;
2024-09-09 13:30:02;18540;197;;
2024-09-09 13:30:02;17968;344;;
2024-09-09 13:30:02;18156;320;;
2024-09-09 13:30:02;18938;223;;
2024-09-09 13:30:02;19073;203;;
2024-09-09 13:30:02;19452;187;;
2024-09-09 13:30:02;20003;339;;
2024-09-09 13:30:02;20276;316;;
2024-09-09 13:30:02;20491;323;;
2024-09-09 13:30:02;20478;259;;
2024-09-09 13:30:02;20173;148;;
2024-09-09 13:30:02;19160;287;;
2024-09-09 13:30:02;18123;314;;
2024-09-09 13:30:02;17965;324;;
2024-09-09 13:30:02;18499;268;;
2024-09-09 13:30:02;19166;138;;
2024-09-09 13:30:02;19205;295;;
2024-09-09 13:30:02;19825;301;;
2024-09-09 13:30:02;20179;347;;
2024-09-09 13:30:02;20378;274;;
2024-09-09 13:30:03;20464;151;;
2024-09-09 13:30:03;20541;312;;
2024-09-09 13:30:03;19928;248;;
2024-09-09 13:30:03;18508;354;;
2024-09-09 13:30:03;17930;267;;
2024-09-09 13:30:03;17965;152;;
2024-09-09 13:30:03;18993;290;;
2024-09-09 13:30:03;19213;296;;
2024-09-09 13:30:03;19417;341;;
2024-09-09 13:30:03;19883;261;;
2024-09-09 13:30:03;20169;147;;
2024-09-09 13:30:03;20448;211;;
2024-09-09 13:30:03;20378;195;;
2024-09-09 13:30:03;20289;204;;
2024-09-09 13:30:03;19206;244;;
2024-09-09 13:30:03;18134;340;;
2024-09-09 13:30:03;17865;301;;
2024-09-09 13:30:03;18399;187;;
2024-09-09 13:30:03;19268;195;;
2024-09-09 13:30:03;19238;239;;
2024-09-09 13:30:03;19808;342;;
2024-09-09 13:30:03;20109;303;;
2024-09-09 13:30:03;20268;196;;
2024-09-09 13:30:03;20579;207;;
2024-09-09 13:30:03;20525;239;;
2024-09-09 13:30:04;19995;346;;
2024-09-09 13:30:04;18481;324;;
2024-09-09 13:30:04;17907;325;;
2024-09-09 13:30:04;18117;231;;
2024-09-09 13:30:04;18868;125;;
2024-09-09 13:30:04;19169;315;;
2024-09-09 13:30:04;19538;318;;
2024-09-09 13:30:04;19931;331;;
2024-09-09 13:30:04;20314;237;;
2024-09-09 13:30:04;20411;125;;
2024-09-09 13:30:04;20637;317;;
2024-09-09 13:30:04;20278;326;;
2024-09-09 13:30:04;19192;325;;
2024-09-09 13:30:04;18002;234;;
2024-09-09 13:30:04;17829;123;;
2024-09-09 13:30:04;18643;305;;
2024-09-09 13:30:04;19264;321;;
2024-09-09 13:30:04;19125;324;;
2024-09-09 13:30:04;19598;248;;
2024-09-09 13:30:04;19993;125;;
2024-09-09 13:30:04;20437;315;;
2024-09-09 13:30:04;20583;325;;
2024-09-09 13:30:04;20562;330;;
2024-09-09 13:30:04;19859;242;;
2024-09-09 13:30:04;18457;118;;
2024-09-09 13:30:05;18382;117;;
2024-09-09 13:30:05;;;;-999
2024-09-09 13:30:05;;;130;
2024-09-09 13:30:05;19150;197;;
2024-09-09 13:30:05;19128;168;;
2024-09-09 13:30:05;19829;334;;
2024-09-09 13:30:05;20189;320;;
2024-09-09 13:30:05;20323;249;;
2024-09-09 13:30:05;20473;193;;
2024-09-09 13:30:05;20421;168;;
2024-09-09 13:30:05;20025;328;;
2024-09-09 13:30:05;18548;310;;
2024-09-09 13:30:05;17877;245;;
2024-09-09 13:30:05;18040;197;;
2024-09-09 13:30:05;18979;176;;
2024-09-09 13:30:05;19161;318;;
2024-09-09 13:30:05;19512;329;;
2024-09-09 13:30:05;19906;263;;
2024-09-09 13:30:05;20194;186;;
2024-09-09 13:30:05;20485;172;;
2024-09-09 13:30:05;20606;327;;
2024-09-09 13:30:05;20410;319;;
2024-09-09 13:30:05;18986;264;;
2024-09-09 13:30:05;17903;198;;
2024-09-09 13:30:05;17969;166;;
2024-09-09 13:30:05;18577;317;;
2024-09-09 13:30:06;19285;322;;
2024-09-09 13:30:06;19054;250;;
2024-09-09 13:30:06;19664;193;;
2024-09-09 13:30:06;20130;160;;
2024-09-09 13:30:06;20473;317;;
2024-09-09 13:30:06;20559;314;;
2024-09-09 13:30:06;20226;254;;
2024-09-09 13:30:06;19936;211;;
2024-09-09 13:30:06;18490;174;;
2024-09-09 13:30:06;18057;324;;
2024-09-09 13:30:06;18174;322;;
2024-09-09 13:30:06;18869;265;;
2024-09-09 13:30:06;18912;212;;
2024-09-09 13:30:06;19387;172;;
2024-09-09 13:30:06;20036;321;;
2024-09-09 13:30:06;20287;327;;
2024-09-09 13:30:06;20311;273;;
2024-09-09 13:30:06;20514;209;;
2024-09-09 13:30:06;20339;184;;
2024-09-09 13:30:06;28059;1648;;
2024-09-09 13:30:06;17916;284;;
2024-09-09 13:30:06;17830;265;;
2024-09-09 13:30:06;18420;205;;
2024-09-09 13:30:06;19155;177;;
2024-09-09 13:30:06;19244;315;;
2024-09-09 13:30:07;19745;321;;
2024-09-09 13:30:07;20033;272;;
2024-09-09 13:30:07;20357;205;;
2024-09-09 13:30:07;20515;171;;
2024-09-09 13:30:07;20579;323;;
2024-09-09 13:30:07;20135;330;;
2024-09-09 13:30:07;18444;267;;
2024-09-09 13:30:07;17893;207;;
2024-09-09 13:30:07;17949;178;;
2024-09-09 13:30:07;19045;323;;
2024-09-09 13:30:07;19203;329;;
2024-09-09 13:30:07;19209;266;;
2024-09-09 13:30:07;19818;202;;
2024-09-09 13:30:07;20288;172;;
2024-09-09 13:30:07;20519;315;;
2024-09-09 13:30:07;20556;327;;
2024-09-09 13:30:07;20304;287;;
2024-09-09 13:30:07;19515;220;;
2024-09-09 13:30:07;18116;169;;
2024-09-09 13:30:07;18016;308;;
2024-09-09 13:30:07;18448;337;;
2024-09-09 13:30:07;19149;287;;
2024-09-09 13:30:07;19060;207;;
